項次,機構類別,機構名稱,機構代碼,地址,負責人,電話
1,中醫診所,慈生內科傷科中醫診所,3822020096,嘉義市西區學圃里民生北路２０號,蔡清煌,52252278
2,中醫診所,中和內科傷科中醫診所,3822020149,嘉義市西區民族路806號,黃火全,05 2273543
3,中醫診所,金德中醫診所,3822020041,嘉義市西區北興街２８８號,張金庫,05 2325118
4,中醫診所,李中醫診所,3822020050,嘉義市西區杭州三街２１號,李泰榮,05 2852059
5,中醫診所,杏林堂中醫診所,3822020130,嘉義市西區民生南路５５０號,李曜騰,05 2353309
6,中醫診所,張福泉中醫診所,3822020274,嘉義市西區北興街１７４號,張福泉,05 2320181
7,中醫診所,蔡國忠中醫診所,3822020336,嘉義市西區仁愛路２９７號,蔡國忠,05 2854696
8,中醫診所,聖林中醫診所,3822020345,嘉義市西區自由路３１２號,羅金發,05 2320581
9,中醫診所,迦南中醫診所,3822020354,嘉義市西區保安里竹圍路１２３號,卓青峰,05 2332414
10,中醫診所,洪鳳鳴中醫診所,3822020416,嘉義市西區博愛路一段207號,洪鳳鳴,05 2321091
11,中醫診所,大成中醫診所,3822020434,嘉義市西區書院里新榮路307號1至2樓,劉自強,05 2222635
12,中醫診所,建成中醫診所,3822020461,嘉義市西區建成街７３之２號,柳維聰,05 2866058
13,中醫診所,養心齋中醫診所,3822020470,嘉義市西區八德路56號,王貴芳,05 2341971
14,中醫診所,建民堂中醫診所,3822020514,嘉義市西區光路里民生南路４３０號,黃順珍,05 2831318
15,中醫診所,朝榮中醫診所,3822020532,嘉義市西區仁愛路３０１號,陳朝榮,05 2855888
16,中醫診所,新民中醫診所,3822021566,嘉義市西區新民路703號2樓,賀慕竹,05-2837170
17,中醫診所,正慶中醫診所,3822021584,嘉義市西區仁愛路372號,江正慶,05-2270130
18,中醫診所,嘉冠中醫診所,3822021619,嘉義市西區忠義街174號,黃俊銘,05-2222354
19,中醫診所,德隆中醫診所,3822021628,嘉義市西區友順街85號,李德隆,05-2315556
20,中醫診所,仲聖中醫診所,3822021637,嘉義市西區興業西路85號地下一樓,黃國龍,52270513
